timestamp,location,sensor,value
2024-01-06T03:04:00.000Z,zone-d,light,653
2024-01-06T03:38:00.000Z,zone-c,light,499.4
2024-01-06T05:23:00.000Z,zone-b,humidity,35.6
2024-01-06T06:16:00.000Z,zone-a,light,238.7
2024-01-06T08:01:00.000Z,zone-d,humidity,36.4
2024-01-06T09:19:00.000Z,zone-d,temperature,16.9
2024-01-06T10:14:00.000Z,zone-a,temperature,17.5
2024-01-06T10:16:00.000Z,zone-b,pressure,994.6
2024-01-06T16:15:00.000Z,zone-c,temperature,32.9
2024-01-06T17:00:00.000Z,zone-a,humidity,38
2024-01-06T18:44:00.000Z,zone-c,temperature,24.1
2024-01-06T23:02:00.000Z,zone-b,pressure,1016.7
2024-01-07T02:47:00.000Z,zone-b,humidity,67.6
2024-01-07T04:24:00.000Z,zone-c,light,456
2024-01-07T04:52:00.000Z,zone-a,temperature,22.2
2024-01-07T06:01:00.000Z,zone-d,temperature,33
2024-01-07T07:07:00.000Z,zone-d,light,750.5
2024-01-07T07:48:00.000Z,zone-a,light,709.4
2024-01-07T08:09:00.000Z,zone-d,pressure,999.8
2024-01-07T08:38:00.000Z,zone-b,temperature,17.2
2024-01-07T13:52:00.000Z,zone-a,pressure,1012.1
2024-01-07T13:54:00.000Z,zone-b,light,216.8
2024-01-07T14:21:00.000Z,zone-a,humidity,45.9
2024-01-07T14:55:00.000Z,zone-c,humidity,53.9
2024-01-07T15:08:00.000Z,zone-d,humidity,64.3
2024-01-07T16:28:00.000Z,zone-c,pressure,1010.6
2024-01-07T18:37:00.000Z,zone-c,pressure,1014.3
2024-01-07T21:17:00.000Z,zone-a,light,311.8
2024-01-07T22:38:00.000Z,zone-a,pressure,992.2
2024-01-08T00:35:00.000Z,zone-d,temperature,25.5
2024-01-08T02:15:00.000Z,zone-b,pressure,993.4
2024-01-08T03:51:00.000Z,zone-d,pressure,996.4
2024-01-08T04:57:00.000Z,zone-b,temperature,21.2
2024-01-08T05:27:00.000Z,zone-d,humidity,58.5
2024-01-08T06:30:00.000Z,zone-d,light,291.8
2024-01-08T06:41:00.000Z,zone-c,light,626.4
2024-01-08T07:08:00.000Z,zone-c,temperature,25.8
2024-01-08T08:47:00.000Z,zone-a,humidity,62.4
2024-01-08T12:59:00.000Z,zone-c,humidity,30.3
2024-01-08T13:19:00.000Z,zone-b,light,718.9
2024-01-08T13:46:00.000Z,zone-b,humidity,40.5
2024-01-08T17:26:00.000Z,zone-a,temperature,23.6
2024-01-08T18:31:00.000Z,zone-a,temperature,32.5
2024-01-08T20:18:00.000Z,zone-c,temperature,19.4
2024-01-08T20:18:00.000Z,zone-d,pressure,1008.3
2024-01-08T21:42:00.000Z,zone-c,pressure,1002.1
2024-01-08T21:46:00.000Z,zone-a,pressure,1015.4
2024-01-08T22:21:00.000Z,zone-b,light,698.1
2024-01-09T02:59:00.000Z,zone-b,temperature,31.3
2024-01-09T04:39:00.000Z,zone-d,light,891.7
2024-01-09T04:41:00.000Z,zone-b,humidity,70.2
2024-01-09T06:49:00.000Z,zone-c,humidity,62.7
2024-01-09T06:58:00.000Z,zone-c,light,119.6
2024-01-09T07:24:00.000Z,zone-d,temperature,19.3
2024-01-09T08:50:00.000Z,zone-d,humidity,53
2024-01-09T09:34:00.000Z,zone-b,pressure,990.3
2024-01-09T14:05:00.000Z,zone-a,humidity,74.3
2024-01-09T17:47:00.000Z,zone-a,light,241.1
2024-01-09T18:39:00.000Z,zone-d,pressure,992.4
2024-01-09T18:41:00.000Z,zone-c,light,696.6
2024-01-09T19:51:00.000Z,zone-c,humidity,49.5
2024-01-09T22:58:00.000Z,zone-b,humidity,57.5
2024-01-10T00:29:00.000Z,zone-b,light,425.5
2024-01-10T02:46:00.000Z,zone-a,light,103.5
2024-01-10T04:35:00.000Z,zone-a,temperature,28.4
2024-01-10T05:25:00.000Z,zone-c,pressure,1006.3
2024-01-10T05:34:00.000Z,zone-b,pressure,993.7
2024-01-10T07:53:00.000Z,zone-a,pressure,1004.1
2024-01-10T07:58:00.000Z,zone-d,temperature,32.9
2024-01-10T10:54:00.000Z,zone-b,temperature,24.7
2024-01-10T11:30:00.000Z,zone-d,humidity,47.8
2024-01-10T13:38:00.000Z,zone-a,humidity,47.6
2024-01-10T14:18:00.000Z,zone-d,light,372.3
2024-01-10T16:00:00.000Z,zone-c,temperature,15.7
2024-01-10T18:42:00.000Z,zone-c,humidity,49.8
2024-01-10T19:21:00.000Z,zone-b,temperature,26.8
2024-01-10T20:19:00.000Z,zone-a,pressure,994.3
2024-01-10T20:37:00.000Z,zone-d,light,534
2024-01-10T22:01:00.000Z,zone-a,light,371.3
2024-01-10T22:19:00.000Z,zone-c,pressure,1019.5
2024-01-10T22:36:00.000Z,zone-b,light,541.4
2024-01-11T00:48:00.000Z,zone-a,temperature,24.6
2024-01-11T01:50:00.000Z,zone-d,pressure,996.9
2024-01-11T08:57:00.000Z,zone-d,temperature,30.3
2024-01-11T11:23:00.000Z,zone-a,humidity,42.8
2024-01-11T15:34:00.000Z,zone-c,light,404.6
2024-01-11T16:07:00.000Z,zone-b,pressure,997
2024-01-11T16:09:00.000Z,zone-d,humidity,75.8
2024-01-11T16:29:00.000Z,zone-c,temperature,30.4
2024-01-11T16:55:00.000Z,zone-b,humidity,58
2024-01-11T19:23:00.000Z,zone-b,humidity,60.1
2024-01-11T19:27:00.000Z,zone-d,temperature,33
2024-01-11T20:43:00.000Z,zone-b,temperature,24.6
2024-01-11T21:50:00.000Z,zone-c,humidity,59.7
2024-01-11T22:12:00.000Z,zone-a,temperature,16.7
2024-01-12T00:57:00.000Z,zone-a,humidity,36.9
2024-01-12T01:13:00.000Z,zone-b,pressure,995.9
2024-01-12T01:19:00.000Z,zone-d,light,801
2024-01-12T01:30:00.000Z,zone-a,light,813.8
2024-01-12T06:20:00.000Z,zone-c,pressure,992.8
2024-01-12T07:02:00.000Z,zone-c,temperature,26.6
2024-01-12T08:00:00.000Z,zone-a,pressure,994.9
2024-01-12T08:34:00.000Z,zone-b,light,723.9
2024-01-12T10:40:00.000Z,zone-c,light,273.7
2024-01-12T15:40:00.000Z,zone-d,humidity,68.4
2024-01-12T17:37:00.000Z,zone-d,pressure,992.5
2024-01-12T19:57:00.000Z,zone-a,pressure,1011.4
2024-01-12T20:01:00.000Z,zone-a,temperature,27.9
2024-01-12T20:15:00.000Z,zone-b,temperature,22.3
2024-01-13T00:16:00.000Z,zone-c,temperature,16.8
2024-01-13T02:44:00.000Z,zone-a,light,592.9
2024-01-13T05:41:00.000Z,zone-a,humidity,53.9
2024-01-13T07:11:00.000Z,zone-c,pressure,999.6
2024-01-13T08:51:00.000Z,zone-c,humidity,54.1
2024-01-13T10:41:00.000Z,zone-b,pressure,993.6
2024-01-13T11:24:00.000Z,zone-c,light,886.8
2024-01-13T12:00:00.000Z,zone-b,humidity,33.4
2024-01-13T13:27:00.000Z,zone-d,pressure,1014.2
2024-01-13T14:16:00.000Z,zone-b,light,860.5
2024-01-13T16:11:00.000Z,zone-d,humidity,35.2
2024-01-13T16:22:00.000Z,zone-d,light,216.2
2024-01-13T16:56:00.000Z,zone-d,temperature,22.8
2024-01-13T23:36:00.000Z,zone-c,pressure,1006.8
2024-01-14T00:37:00.000Z,zone-b,temperature,25.7
2024-01-14T00:46:00.000Z,zone-a,pressure,1016.4
2024-01-14T01:13:00.000Z,zone-c,light,233.4
2024-01-14T05:20:00.000Z,zone-a,temperature,24.9
2024-01-14T05:54:00.000Z,zone-d,pressure,1015.3
2024-01-14T06:15:00.000Z,zone-d,temperature,26.1
2024-01-14T08:29:00.000Z,zone-b,light,527.2
2024-01-14T09:45:00.000Z,zone-b,humidity,48.1
2024-01-14T10:11:00.000Z,zone-d,light,782.9
2024-01-14T15:20:00.000Z,zone-c,humidity,50.4
2024-01-14T15:27:00.000Z,zone-a,humidity,40.3
2024-01-14T15:58:00.000Z,zone-b,pressure,1002.6
2024-01-14T16:09:00.000Z,zone-a,light,827.8
2024-01-14T16:34:00.000Z,zone-d,humidity,53.6
2024-01-14T17:24:00.000Z,zone-c,temperature,16.9
2024-01-14T18:55:00.000Z,zone-d,temperature,24.2
2024-01-14T19:22:00.000Z,zone-b,pressure,998.9
2024-01-14T21:22:00.000Z,zone-d,light,323.1
2024-01-14T21:38:00.000Z,zone-d,pressure,1010.6
2024-01-14T21:46:00.000Z,zone-a,humidity,53.8
2024-01-14T21:54:00.000Z,zone-c,humidity,66.1
2024-01-15T00:39:00.000Z,zone-b,humidity,31.2
2024-01-15T00:50:00.000Z,zone-b,temperature,17.9
2024-01-15T09:50:00.000Z,zone-a,light,330.5
2024-01-15T10:16:00.000Z,zone-c,pressure,991.4
2024-01-15T10:23:00.000Z,zone-d,humidity,78.7
2024-01-15T11:01:00.000Z,zone-c,light,840.2
2024-01-15T12:49:00.000Z,zone-b,light,343
2024-01-15T15:25:00.000Z,zone-c,temperature,26
2024-01-15T15:48:00.000Z,zone-a,temperature,32.2
2024-01-15T16:23:00.000Z,zone-a,pressure,1005.6
2024-01-15T19:22:00.000Z,zone-c,pressure,1008.9
2024-01-15T21:34:00.000Z,zone-a,humidity,43.2
2024-01-15T21:53:00.000Z,zone-b,pressure,1006.7
2024-01-15T22:09:00.000Z,zone-c,light,343.1
2024-01-16T00:56:00.000Z,zone-a,temperature,34.5
2024-01-16T01:03:00.000Z,zone-d,humidity,32.6
2024-01-16T04:18:00.000Z,zone-b,light,695.4
2024-01-16T04:23:00.000Z,zone-c,temperature,28.5
2024-01-16T04:38:00.000Z,zone-d,pressure,1015.3
2024-01-16T05:39:00.000Z,zone-d,light,386
2024-01-16T08:34:00.000Z,zone-c,humidity,76.6
2024-01-16T10:58:00.000Z,zone-a,pressure,1001.4
2024-01-16T13:30:00.000Z,zone-a,light,561.1
2024-01-16T14:04:00.000Z,zone-d,temperature,22.5
2024-01-16T15:02:00.000Z,zone-b,temperature,27.5
2024-01-16T15:17:00.000Z,zone-b,humidity,40.5
2024-01-16T19:07:00.000Z,zone-b,light,743.4
2024-01-16T19:46:00.000Z,zone-a,humidity,53.6
2024-01-16T19:46:00.000Z,zone-b,pressure,1019.3
2024-01-16T19:50:00.000Z,zone-a,pressure,1001.3
2024-01-16T23:17:00.000Z,zone-d,pressure,1019.9
2024-01-17T01:45:00.000Z,zone-d,humidity,35
2024-01-17T01:53:00.000Z,zone-c,light,653
2024-01-17T02:52:00.000Z,zone-d,temperature,24.1
2024-01-17T06:56:00.000Z,zone-a,light,442.9
2024-01-17T07:54:00.000Z,zone-b,temperature,31
2024-01-17T09:58:00.000Z,zone-d,light,471.5
2024-01-17T12:18:00.000Z,zone-a,temperature,17.1
2024-01-17T15:06:00.000Z,zone-b,humidity,44.7
2024-01-17T15:47:00.000Z,zone-c,humidity,53.8
2024-01-17T17:05:00.000Z,zone-c,pressure,1018.3
2024-01-17T17:30:00.000Z,zone-c,temperature,27.3
2024-01-17T20:02:00.000Z,zone-d,humidity,37.5
2024-01-17T22:36:00.000Z,zone-a,pressure,993.3
2024-01-17T23:06:00.000Z,zone-d,temperature,22.4
2024-01-18T02:06:00.000Z,zone-d,light,608.8
2024-01-18T02:37:00.000Z,zone-b,pressure,1017.1
2024-01-18T03:43:00.000Z,zone-c,pressure,1019.6
2024-01-18T04:00:00.000Z,zone-a,humidity,55.4
2024-01-18T04:55:00.000Z,zone-d,pressure,994.2
2024-01-18T04:56:00.000Z,zone-b,temperature,18.7
2024-01-18T08:08:00.000Z,zone-a,light,128.8
2024-01-18T08:20:00.000Z,zone-a,temperature,35
2024-01-18T08:38:00.000Z,zone-c,humidity,43.4
2024-01-18T13:34:00.000Z,zone-b,light,392.7
2024-01-18T16:41:00.000Z,zone-c,light,765.7
2024-01-18T17:16:00.000Z,zone-c,temperature,26
2024-01-18T18:04:00.000Z,zone-b,humidity,35.1
2024-01-18T20:20:00.000Z,zone-b,temperature,20.2
2024-01-18T22:05:00.000Z,zone-d,pressure,1009.6
2024-01-18T22:28:00.000Z,zone-c,humidity,53.2
2024-01-18T23:13:00.000Z,zone-a,humidity,61.6
2024-01-19T03:49:00.000Z,zone-d,temperature,16.6
2024-01-19T04:56:00.000Z,zone-c,temperature,16.8
2024-01-19T05:00:00.000Z,zone-b,humidity,72.7
2024-01-19T05:24:00.000Z,zone-a,pressure,999.7
2024-01-19T05:24:00.000Z,zone-c,pressure,1010.4
2024-01-19T05:36:00.000Z,zone-d,light,424.7
2024-01-19T08:50:00.000Z,zone-b,light,439.4
2024-01-19T10:00:00.000Z,zone-b,pressure,1013.7
2024-01-19T11:13:00.000Z,zone-d,humidity,32.9
2024-01-19T13:01:00.000Z,zone-a,temperature,33.9
2024-01-19T13:51:00.000Z,zone-c,light,276.9
2024-01-19T15:19:00.000Z,zone-a,light,765.4
2024-01-19T18:31:00.000Z,zone-b,temperature,22.2
2024-01-19T19:26:00.000Z,zone-b,pressure,1002.2
2024-01-19T20:41:00.000Z,zone-b,humidity,76.4
2024-01-19T21:42:00.000Z,zone-d,pressure,990.6
2024-01-19T22:29:00.000Z,zone-d,humidity,46.2
2024-01-19T22:59:00.000Z,zone-a,humidity,57.9
2024-01-19T23:53:00.000Z,zone-d,temperature,30.6
2024-01-20T04:53:00.000Z,zone-c,pressure,998.9
2024-01-20T06:55:00.000Z,zone-d,light,478.8
2024-01-20T07:23:00.000Z,zone-a,temperature,30.8
2024-01-20T11:20:00.000Z,zone-c,temperature,18.5
2024-01-20T12:07:00.000Z,zone-a,pressure,996.8
2024-01-20T13:12:00.000Z,zone-c,light,233.9
2024-01-20T13:59:00.000Z,zone-b,light,653.8
2024-01-20T16:03:00.000Z,zone-c,humidity,47.5
2024-01-20T16:19:00.000Z,zone-a,light,831.3
2024-01-20T18:58:00.000Z,zone-d,pressure,1016.3
2024-01-20T19:30:00.000Z,zone-b,light,759.4
2024-01-20T20:07:00.000Z,zone-c,temperature,33.8
2024-01-20T20:21:00.000Z,zone-a,temperature,17.5
2024-01-20T21:01:00.000Z,zone-c,pressure,1009.8
2024-01-20T23:53:00.000Z,zone-c,light,607.5
2024-01-21T00:02:00.000Z,zone-a,humidity,53.7
2024-01-21T00:24:00.000Z,zone-c,humidity,76
2024-01-21T02:31:00.000Z,zone-d,temperature,29.8
2024-01-21T03:36:00.000Z,zone-a,light,482.3
2024-01-21T06:21:00.000Z,zone-d,light,197.4
2024-01-21T07:28:00.000Z,zone-a,pressure,992.8
2024-01-21T08:56:00.000Z,zone-b,pressure,1010.2
2024-01-21T10:53:00.000Z,zone-b,temperature,15.6
2024-01-21T13:49:00.000Z,zone-d,humidity,53.1
2024-01-21T14:15:00.000Z,zone-b,humidity,65.5
2024-01-21T21:55:00.000Z,zone-a,pressure,992.2
2024-01-21T21:57:00.000Z,zone-d,temperature,18.3
2024-01-22T00:03:00.000Z,zone-a,temperature,23.6
2024-01-22T04:50:00.000Z,zone-a,humidity,48.4
2024-01-22T05:52:00.000Z,zone-d,pressure,992.2
2024-01-22T06:43:00.000Z,zone-b,pressure,995.4
2024-01-22T09:17:00.000Z,zone-c,temperature,15.2
2024-01-22T10:41:00.000Z,zone-b,humidity,72.7
2024-01-22T12:11:00.000Z,zone-c,light,264.9
2024-01-22T12:23:00.000Z,zone-d,humidity,40.3
2024-01-22T13:11:00.000Z,zone-c,humidity,67.1
2024-01-22T13:55:00.000Z,zone-c,pressure,998.4
2024-01-22T16:30:00.000Z,zone-b,light,596.7
2024-01-22T17:18:00.000Z,zone-b,temperature,29.9
2024-01-22T17:53:00.000Z,zone-d,light,131.8
2024-01-22T18:01:00.000Z,zone-a,light,776.9
2024-01-22T20:42:00.000Z,zone-a,humidity,44.6
2024-01-23T03:10:00.000Z,zone-b,humidity,40.3
2024-01-23T03:28:00.000Z,zone-c,temperature,15.8
2024-01-23T06:27:00.000Z,zone-d,humidity,75.6
2024-01-23T06:28:00.000Z,zone-b,temperature,29.9
2024-01-23T07:05:00.000Z,zone-c,light,348.6
2024-01-23T08:44:00.000Z,zone-d,temperature,24
2024-01-23T09:03:00.000Z,zone-c,pressure,1012.3
2024-01-23T09:18:00.000Z,zone-d,light,261.4
2024-01-23T11:16:00.000Z,zone-a,temperature,16.3
2024-01-23T11:34:00.000Z,zone-b,pressure,1017.5
2024-01-23T12:00:00.000Z,zone-a,light,306
2024-01-23T14:57:00.000Z,zone-a,pressure,1007
2024-01-23T15:25:00.000Z,zone-c,humidity,42.1
2024-01-23T17:17:00.000Z,zone-b,light,164.4
2024-01-23T17:18:00.000Z,zone-d,pressure,995.1
2024-01-23T19:03:00.000Z,zone-c,temperature,31.6
2024-01-23T20:18:00.000Z,zone-d,light,568.7
2024-01-23T23:20:00.000Z,zone-c,light,485.7
2024-01-24T00:04:00.000Z,zone-d,humidity,78.7
2024-01-24T03:36:00.000Z,zone-b,humidity,54.1
2024-01-24T03:42:00.000Z,zone-d,pressure,1011.4
2024-01-24T05:17:00.000Z,zone-b,temperature,30.6
2024-01-24T07:21:00.000Z,zone-b,light,266.9
2024-01-24T08:10:00.000Z,zone-c,pressure,1018
2024-01-24T09:30:00.000Z,zone-a,pressure,1007.6
2024-01-24T09:34:00.000Z,zone-c,humidity,31.3
2024-01-24T11:01:00.000Z,zone-d,temperature,25.2
2024-01-24T13:27:00.000Z,zone-a,humidity,65.9
2024-01-24T13:47:00.000Z,zone-b,pressure,1003.2
2024-01-24T15:33:00.000Z,zone-a,temperature,28.3
2024-01-24T18:19:00.000Z,zone-a,light,707.8
2024-01-24T21:09:00.000Z,zone-b,humidity,61.5
2024-01-24T22:20:00.000Z,zone-c,humidity,47.8
2024-01-24T23:45:00.000Z,zone-d,humidity,41.2
2024-01-25T01:21:00.000Z,zone-d,light,853.7
2024-01-25T04:19:00.000Z,zone-b,temperature,32.8
2024-01-25T05:29:00.000Z,zone-c,pressure,1015.7
2024-01-25T08:57:00.000Z,zone-a,humidity,67.6
2024-01-25T09:16:00.000Z,zone-d,pressure,1011.8
2024-01-25T10:18:00.000Z,zone-c,temperature,23.2
2024-01-25T11:31:00.000Z,zone-b,pressure,1011.5
2024-01-25T11:37:00.000Z,zone-a,light,239.9
2024-01-25T11:52:00.000Z,zone-c,light,237.2
2024-01-25T11:56:00.000Z,zone-d,temperature,19.4
2024-01-25T12:04:00.000Z,zone-b,light,469.6
2024-01-25T14:48:00.000Z,zone-a,temperature,30.5
2024-01-25T15:13:00.000Z,zone-a,pressure,991.7
2024-01-25T18:31:00.000Z,zone-d,humidity,34
2024-01-25T19:23:00.000Z,zone-d,light,382.1
2024-01-25T22:42:00.000Z,zone-b,light,486.3
2024-01-26T01:31:00.000Z,zone-d,pressure,997.4
2024-01-26T01:54:00.000Z,zone-b,pressure,991
2024-01-26T02:00:00.000Z,zone-c,pressure,1002.5
2024-01-26T04:12:00.000Z,zone-b,temperature,17.9
2024-01-26T05:03:00.000Z,zone-b,humidity,64.9
2024-01-26T07:37:00.000Z,zone-a,temperature,33.2
2024-01-26T09:01:00.000Z,zone-a,pressure,1001.3
2024-01-26T10:16:00.000Z,zone-c,light,647
2024-01-26T10:48:00.000Z,zone-a,humidity,74.9
2024-01-26T14:17:00.000Z,zone-c,temperature,32.1
2024-01-26T14:53:00.000Z,zone-d,temperature,22
2024-01-26T15:37:00.000Z,zone-a,light,186
2024-01-26T17:56:00.000Z,zone-c,humidity,64.4
2024-01-26T23:51:00.000Z,zone-d,humidity,78.2
2024-01-27T02:04:00.000Z,zone-d,temperature,28.2
2024-01-27T02:09:00.000Z,zone-c,pressure,1019
2024-01-27T05:32:00.000Z,zone-b,temperature,23.9
2024-01-27T06:26:00.000Z,zone-b,pressure,1002.1
2024-01-27T06:30:00.000Z,zone-d,pressure,1005.7
2024-01-27T06:43:00.000Z,zone-a,pressure,994.7
2024-01-27T07:43:00.000Z,zone-b,humidity,52.4
2024-01-27T07:58:00.000Z,zone-c,humidity,44.6
2024-01-27T08:09:00.000Z,zone-c,temperature,31.9
2024-01-27T08:31:00.000Z,zone-b,light,108.3
2024-01-27T10:31:00.000Z,zone-a,light,828.3
2024-01-27T12:09:00.000Z,zone-d,light,289
2024-01-27T13:19:00.000Z,zone-a,temperature,19.7
2024-01-27T15:30:00.000Z,zone-a,humidity,31.8
2024-01-27T16:21:00.000Z,zone-c,light,419.2
2024-01-27T19:26:00.000Z,zone-b,pressure,997.2
2024-01-27T20:24:00.000Z,zone-a,light,159.6
2024-01-27T20:43:00.000Z,zone-d,pressure,1014
2024-01-28T00:06:00.000Z,zone-a,temperature,30
2024-01-28T00:49:00.000Z,zone-b,temperature,18.1
2024-01-28T01:51:00.000Z,zone-c,pressure,1017.2
2024-01-28T05:58:00.000Z,zone-a,humidity,55.8
2024-01-28T06:28:00.000Z,zone-d,light,647.6
2024-01-28T08:26:00.000Z,zone-b,light,190.5
2024-01-28T11:26:00.000Z,zone-c,humidity,70.5
2024-01-28T13:04:00.000Z,zone-d,temperature,26.5
2024-01-28T14:48:00.000Z,zone-d,humidity,42.9
2024-01-28T14:56:00.000Z,zone-a,pressure,995
2024-01-28T15:20:00.000Z,zone-c,temperature,32.6
2024-01-28T17:31:00.000Z,zone-c,light,590.5
2024-01-28T17:34:00.000Z,zone-b,humidity,48.1
2024-01-28T20:31:00.000Z,zone-c,temperature,31.9
2024-01-29T03:39:00.000Z,zone-a,light,667.3
2024-01-29T05:20:00.000Z,zone-a,humidity,52.7
2024-01-29T05:35:00.000Z,zone-b,pressure,1016.8
2024-01-29T05:40:00.000Z,zone-b,humidity,56.2
2024-01-29T06:22:00.000Z,zone-c,humidity,36.5
2024-01-29T07:28:00.000Z,zone-d,temperature,32
2024-01-29T08:08:00.000Z,zone-d,light,429.6
2024-01-29T11:30:00.000Z,zone-b,temperature,22.3
2024-01-29T11:53:00.000Z,zone-d,humidity,38.2
2024-01-29T12:00:00.000Z,zone-c,pressure,997.7
2024-01-29T12:12:00.000Z,zone-a,pressure,1002.4
2024-01-29T13:56:00.000Z,zone-a,temperature,15.2
2024-01-29T14:30:00.000Z,zone-c,light,245.2
2024-01-29T16:39:00.000Z,zone-d,pressure,998.6
2024-01-29T17:24:00.000Z,zone-b,light,336.5
2024-01-29T19:41:00.000Z,zone-c,pressure,991.5
2024-01-29T20:23:00.000Z,zone-a,humidity,44.7
2024-01-29T21:47:00.000Z,zone-c,humidity,46.2
2024-01-30T00:08:00.000Z,zone-b,light,645.8
2024-01-30T00:39:00.000Z,zone-d,light,624
2024-01-30T03:10:00.000Z,zone-d,humidity,70.8
2024-01-30T03:30:00.000Z,zone-a,temperature,29.7
2024-01-30T08:52:00.000Z,zone-d,temperature,29.4
2024-01-30T09:52:00.000Z,zone-c,temperature,31.9
2024-01-30T12:18:00.000Z,zone-d,pressure,1000.6
